currency,base_currency,currency_name,exchange_rate,date
IDR,EUR,Indonesian Rupiah,15107.0,2014-11-24
IDR,EUR,Indonesian Rupiah,15218.0,2014-11-25
IDR,EUR,Indonesian Rupiah,15270.0,2014-11-26
IDR,EUR,Indonesian Rupiah,15155.0,2014-11-27
IDR,EUR,Indonesian Rupiah,15241.0,2014-11-28
IDR,EUR,Indonesian Rupiah,15298.0,2014-12-01
IDR,EUR,Indonesian Rupiah,15186.0,2014-12-02
IDR,EUR,Indonesian Rupiah,15184.0,2014-12-03
IDR,EUR,Indonesian Rupiah,15226.0,2014-12-04
IDR,EUR,Indonesian Rupiah,15095.0,2014-12-05
IDR,EUR,Indonesian Rupiah,15254.0,2014-12-08
IDR,EUR,Indonesian Rupiah,15306.0,2014-12-09
IDR,EUR,Indonesian Rupiah,15403.0,2014-12-10
IDR,EUR,Indonesian Rupiah,15362.0,2014-12-11
IDR,EUR,Indonesian Rupiah,15571.0,2014-12-12
IDR,EUR,Indonesian Rupiah,15845.0,2014-12-15
IDR,EUR,Indonesian Rupiah,15878.0,2014-12-16
IDR,EUR,Indonesian Rupiah,15657.0,2014-12-17
IDR,EUR,Indonesian Rupiah,15480.0,2014-12-18
IDR,EUR,Indonesian Rupiah,15304.0,2014-12-19
IDR,EUR,Indonesian Rupiah,15257.0,2014-12-22
IDR,EUR,Indonesian Rupiah,15142.0,2014-12-23
IDR,EUR,Indonesian Rupiah,15200.0,2014-12-24
IDR,EUR,Indonesian Rupiah,15233.0,2014-12-25
IDR,EUR,Indonesian Rupiah,15180.0,2014-12-26
IDR,EUR,Indonesian Rupiah,15122.0,2014-12-29
IDR,EUR,Indonesian Rupiah,15122.0,2014-12-30
IDR,EUR,Indonesian Rupiah,14971.0,2014-12-31
IDR,EUR,Indonesian Rupiah,14976.0,2015-01-01
IDR,EUR,Indonesian Rupiah,15035.0,2015-01-02
IDR,EUR,Indonesian Rupiah,15112.0,2015-01-05
IDR,EUR,Indonesian Rupiah,15072.0,2015-01-06
IDR,EUR,Indonesian Rupiah,15122.0,2015-01-07
IDR,EUR,Indonesian Rupiah,14989.0,2015-01-08
IDR,EUR,Indonesian Rupiah,15024.0,2015-01-09
IDR,EUR,Indonesian Rupiah,14951.0,2015-01-12
IDR,EUR,Indonesian Rupiah,14878.0,2015-01-13
IDR,EUR,Indonesian Rupiah,14916.0,2015-01-14
IDR,EUR,Indonesian Rupiah,14648.0,2015-01-15
IDR,EUR,Indonesian Rupiah,14606.0,2015-01-16
IDR,EUR,Indonesian Rupiah,14644.0,2015-01-19
IDR,EUR,Indonesian Rupiah,14580.0,2015-01-20
IDR,EUR,Indonesian Rupiah,14484.0,2015-01-21
IDR,EUR,Indonesian Rupiah,14120.0,2015-01-22
IDR,EUR,Indonesian Rupiah,14017.0,2015-01-23
IDR,EUR,Indonesian Rupiah,14035.0,2015-01-26
IDR,EUR,Indonesian Rupiah,14230.0,2015-01-27
IDR,EUR,Indonesian Rupiah,14069.0,2015-01-28
IDR,EUR,Indonesian Rupiah,14225.0,2015-01-29
IDR,EUR,Indonesian Rupiah,14288.0,2015-01-30
IDR,EUR,Indonesian Rupiah,14418.0,2015-02-02
IDR,EUR,Indonesian Rupiah,14553.0,2015-02-03
IDR,EUR,Indonesian Rupiah,14322.0,2015-02-04
